idSorteo,fecha,tipo,ganador,nuevo,n1,n2,n3,n4,n5,sb
1920,11/09/2019,Re,NO,SI,10,18,23,29,41,07
1919,07/09/2019,Tr,NO,SI,11,14,20,30,34,07
1919,07/09/2019,Re,NO,SI,04,07,11,39,43,06
1918,04/09/2019,Tr,NO,SI,02,11,18,23,43,14
1918,04/09/2019,Re,NO,SI,02,07,16,26,41,02
1917,31/08/2019,Tr,NO,SI,17,18,33,41,42,08 
1917,31/08/2019,Re,NO,SI,08,15,21,27,32,03
1916,28/08/2019,Tr,NO,SI,11,18,29,35,37,06
1916,28/08/2019,Re,NO,SI,03,15,26,31,34,03 
1915,24/08/2019,Tr,NO,SI,04,08,12,17,35,12
1915,24/08/2019,Re,NO,SI,17,24,25,40,42,04
1914,21/08/2019,Tr,NO,SI,06,08,13,28,29,08 
1914,21/08/2019,Re,NO,SI,08,14,28,36,43,13
1913,17/08/2019,Tr,NO,SI,10,12,25,27,41,03 
1913,17/08/2019,Re,NO,SI,07,15,27,32,40,05 
1912,14/08/2019,Tr,NO,SI,07,22,25,36,37,03 
1912,14/08/2019,Re,NO,SI,07,15,22,23,42,02 
1911,10/08/2019,Tr,NO,SI,06,29,34,41,42,16
1911,10/08/2019,Re,NO,SI,15,29,32,40,43,16
1910,07/08/2019,Tr,NO,SI,06,27,32,40,42,01 
1910,07/08/2019,Re,NO,SI,04,25,31,38,43,12
1909,03/08/2019,Tr,NO,SI,02,11,33,36,38,11
1909,03/08/2019,Re,NO,SI,04,11,24,26,27,05 
1908,31/07/2019,Tr,NO,SI,10,20,25,28,30,03 
1908,31/07/2019,Re,NO,SI,02,03,10,24,28,11
1907,27/07/2019,Tr,NO,SI,09,13,18,19,33,09 
1907,27/07/2019,Re,NO,SI,05,16,18,25,30,01 
1906,24/07/2019,Tr,NO,SI,03,12,24,25,26,12
1906,24/07/2019,Re,NO,SI,06,10,14,21,26,15
1905,20/07/2019,Tr,NO,SI,10,11,15,31,38,05 
1905,20/07/2019,Re,NO,SI,05,19,20,22,34,11
1904,17/07/2019,Tr,NO,SI,06,12,14,15,38,10
1904,17/07/2019,Re,NO,SI,07,09,11,13,38,15
1903,13/07/2019,Tr,NO,SI,02,18,29,37,39,13
1903,13/07/2019,Re,NO,SI,03,20,28,37,39,04 
1902,10/07/2019,Tr,NO,SI,09,12,31,33,43,11
1902,10/07/2019,Re,NO,SI,02,04,19,27,34,03 
1901,06/07/2019,Tr,NO,SI,01,08,21,34,35,10
1901,06/07/2019,Re,NO,SI,15,20,25,35,43,09 
1900,03/07/2019,Tr,NO,SI,01,02,03,10,31,01 
1900,03/07/2019,Re,NO,SI,03,04,22,38,43,12
1899,29/06/2019,Tr,NO,SI,02,12,16,26,30,02 
1899,29/06/2019,Re,NO,SI,08,26,31,38,39,11
1898,26/06/2019,Tr,NO,SI,06,12,15,26,35,07 
1898,26/06/2019,Re,NO,SI,18,31,33,34,42,08 
1897,22/06/2019,Tr,NO,SI,15,16,24,26,32,10
1897,22/06/2019,Re,NO,SI,02,05,12,38,40,07 
1896,19/06/2019,Tr,NO,SI,04,10,20,32,33,15
1896,19/06/2019,Re,NO,SI,09,10,26,30,36,10
1895,15/06/2019,Tr,NO,SI,10,14,27,35,41,12
1895,15/06/2019,Re,NO,SI,02,03,12,29,31,03 
1894,12/06/2019,Tr,NO,SI,03,08,25,28,40,02 
1894,12/06/2019,Re,NO,SI,01,05,08,20,29,13
1893,08/06/2019,Tr,NO,SI,10,25,29,35,37,05 
1893,08/06/2019,Re,NO,SI,03,29,30,36,37,03 
1892,05/06/2019,Tr,NO,SI,01,04,08,22,37,13
1892,05/06/2019,Re,NO,SI,13,16,17,22,25,01 
1891,01/06/2019,Tr,NO,SI,01,03,17,23,32,16
1891,01/06/2019,Re,NO,SI,07,17,18,24,28,04
1890,29/05/2019,Tr,NO,SI,01,02,22,29,42,16
1890,29/05/2019,Re,NO,SI,06,20,22,30,34,05
1889,25/05/2019,Tr,NO,SI,02,10,14,34,40,14
1889,25/05/2019,Re,NO,SI,04,06,20,27,35,13
1888,22/05/2019,Tr,NO,SI,09,16,20,28,37,05
1888,22/05/2019,Re,NO,SI,03,18,24,34,36,04
1887,18/05/2019,Tr,NO,SI,03,04,20,25,37,12
1887,18/05/2019,Re,NO,SI,13,26,33,35,40,13
1886,15/05/2019,Tr,NO,SI,03,17,25,39,42,04
1886,15/05/2019,Re,NO,SI,14,22,23,31,38,09
1885,11/05/2019,Tr,NO,SI,03,11,27,39,41,04
1885,11/05/2019,Re,NO,SI,13,19,28,39,42,15
1884,08/05/2019,Tr,NO,SI,01,04,21,30,43,15
1884,08/05/2019,Re,NO,SI,11,15,23,26,39,03
1883,04/05/2019,Tr,NO,SI,04,11,12,16,26,02
1883,04/05/2019,Re,NO,SI,09,11,31,35,36,10
1882,01/05/2019,Tr,NO,SI,01,04,08,19,27,05
1882,01/05/2019,Re,NO,SI,09,15,24,31,36,03
1881,27/04/2019,Tr,NO,SI,01,13,32,37,43,10
1881,27/04/2019,Re,NO,SI,02,15,30,37,38,13
1880,24/04/2019,Tr,NO,SI,04,08,32,34,40,04
1880,24/04/2019,Re,NO,SI,12,13,14,31,35,09
1879,20/04/2019,Tr,NO,SI,10,17,24,29,43,14
1879,20/04/2019,Re,NO,SI,01,12,13,19,27,04
1878,17/04/2019,Tr,NO,SI,03,04,31,34,43,14
1878,17/04/2019,Re,NO,SI,02,09,15,30,32,08
1877,13/04/2019,Tr,NO,SI,06,07,08,27,34,14
1877,13/04/2019,Re,NO,SI,04,18,22,34,41,10
1876,10/04/2019,Tr,NO,SI,15,18,24,34,39,04
1876,10/04/2019,Re,NO,SI,05,07,08,14,28,09
1875,06/04/2019,Tr,NO,SI,20,29,32,34,37,06
1875,06/04/2019,Re,NO,SI,07,13,28,34,40,15
1874,03/04/2019,Tr,NO,SI,03,04,22,40,41,14
1874,03/04/2019,Re,NO,SI,03,20,22,33,35,09
1873,30/03/2019,Tr,NO,SI,06,17,24,39,43,16
1873,30/03/2019,Re,NO,SI,02,09,18,31,42,13
1872,27/03/2019,Tr,NO,SI,03,15,20,23,25,11
1872,27/03/2019,Re,NO,SI,03,09,15,29,41,02
1871,23/03/2019,Tr,NO,SI,18,20,21,35,43,05
1871,23/03/2019,Re,NO,SI,06,24,27,32,39,02
1870,20/03/2019,Tr,NO,SI,06,22,33,36,41,13
1870,20/03/2019,Re,NO,SI,17,26,30,37,40,13
1869,16/03/2019,Tr,NO,SI,05,16,26,32,36,03
1869,16/03/2019,Re,NO,SI,01,14,31,34,42,14
1868,13/03/2019,Tr,NO,SI,06,08,13,14,37,06
1868,13/03/2019,Re,NO,SI,01,08,10,15,40,02
1867,09/03/2019,Tr,NO,SI,24,29,34,35,40,13
1867,09/03/2019,Re,NO,SI,01,08,12,14,30,07
1866,06/03/2019,Tr,NO,SI,02,04,12,18,35,07
1866,06/03/2019,Re,NO,SI,07,11,17,18,43,05
1865,02/03/2019,Tr,NO,SI,06,22,25,28,40,05
1865,02/03/2019,Re,NO,SI,10,14,29,35,37,01
1864,27/02/2019,Tr,NO,SI,06,10,12,18,39,07
1864,27/02/2019,Re,NO,SI,03,20,24,27,28,09
1863,23/02/2019,Tr,NO,SI,03,07,14,19,22,04
1863,23/02/2019,Re,NO,SI,03,05,07,13,16,13
1862,20/02/2019,Tr,NO,SI,03,10,32,40,42,15
1862,20/02/2019,Re,NO,SI,02,19,25,26,28,12
1861,16/02/2019,Tr,NO,SI,19,25,28,31,40,11
1861,16/02/2019,Re,NO,SI,06,13,14,30,34,05
1860,13/02/2019,Tr,NO,SI,01,05,06,08,27,14
1860,13/02/2019,Re,NO,SI,05,17,27,29,30,03
1859,09/02/2019,Tr,NO,SI,03,05,30,37,39,12
1859,09/02/2019,Re,NO,SI,11,13,18,21,37,01
1858,06/02/2019,Tr,NO,SI,01,10,23,38,43,07
1858,06/02/2019,Re,NO,SI,16,17,31,36,38,04
1857,02/02/2019,Tr,NO,SI,16,17,21,22,43,03
1857,02/02/2019,Re,NO,SI,20,22,23,26,28,10
1856,30/01/2019,Tr,NO,SI,16,18,19,21,38,07
1856,30/01/2019,Re,NO,SI,09,10,13,14,37,10
1855,26/01/2019,Tr,NO,SI,03,07,11,19,25,03
1855,26/01/2019,Re,NO,SI,05,20,26,34,37,07
1854,23/01/2019,Tr,NO,SI,07,09,16,24,31,03
1854,23/01/2019,Re,NO,SI,08,12,29,30,31,01
1853,19/01/2019,Tr,NO,SI,08,15,28,38,42,07
1853,19/01/2019,Re,NO,SI,08,18,19,32,42,15
1852,16/01/2019,Tr,NO,SI,06,13,15,26,31,03
1852,16/01/2019,Re,NO,SI,12,17,27,29,32,08
1851,12/01/2019,Tr,NO,SI,02,19,22,28,32,11
1851,12/01/2019,Re,NO,SI,21,31,33,35,41,09
1850,09/01/2019,Re,NO,SI,01,04,08,14,41,03
1850,09/01/2019,Tr,NO,SI,05,20,27,30,38,16
1849,05/01/2019,Tr,NO,SI,10,14,19,39,41,01
1849,05/01/2019,Re,NO,SI,10,13,21,34,43,11
1848,02/01/2019,Tr,NO,SI,09,14,25,26,37,07
1848,02/01/2019,Re,NO,SI,01,09,17,33,42,10
1847,29/12/2018,Tr,NO,SI,10,14,29,30,42,02
1847,29/12/2018,Re,NO,SI,02,06,22,28,34,09
1846,26/12/2018,Tr,NO,SI,09,13,31,33,41,03
1846,26/12/2018,Re,NO,SI,03,23,30,32,40,10
1845,22/12/2018,Tr,NO,SI,03,07,11,39,41,02
1845,22/12/2018,Re,NO,SI,01,40,41,42,43,08
1844,19/12/2018,Tr,NO,SI,15,27,28,41,42,04
1844,19/12/2018,Re,NO,SI,02,32,34,41,43,10
1843,15/12/2018,Tr,NO,SI,04,13,25,31,33,05
1843,15/12/2018,Re,NO,SI,01,08,10,12,40,16
1842,12/12/2018,Tr,NO,SI,04,17,36,37,43,11
1842,12/12/2018,Re,NO,SI,07,22,25,32,33,10
