idSorteo,fecha,tipo,ganador,nuevo,n1,n2,n3,n4,n5,sb
1773,14/04/2018,Tr,NO,SI,01,12,28,30,33,03
1773,14/04/2018,Re,NO,SI,19,25,29,36,43,06
1774,18/04/2018,Tr,NO,SI,03,23,31,35,40,15
1774,18/04/2018,Re,NO,SI,14,16,32,34,39,07
1775,21/04/2018,Tr,NO,SI,10,12,16,17,27,06
1775,21/04/2018,Re,NO,SI,24,31,32,34,42,12
1776,25/04/2018,Tr,NO,SI,14,27,34,37,43,13
1776,25/04/2018,Re,NO,SI,22,27,28,30,34,16
1777,28/04/2018,Tr,NO,SI,10,18,19,36,43,13
1777,28/04/2018,Re,NO,SI,01,02,05,14,30,01
1778,02/05/2018,Tr,NO,SI,07,37,38,39,41,03
1778,02/05/2018,Re,NO,SI,18,32,35,42,43,03
1779,05/05/2018,Tr,SI,SI,05,06,14,26,31,11
1779,05/05/2018,Re,NO,SI,05,10,16,35,39,08
1780,09/05/2018,Tr,NO,SI,11,12,39,40,43,01
1780,09/05/2018,Re,NO,SI,04,20,27,32,40,16
1781,12/05/2018,Tr,NO,SI,06,10,23,31,34,03
1781,12/05/2018,Re,NO,SI,11,16,18,34,36,07
1782,16/05/2018,Tr,NO,SI,13,16,28,34,37,01
1782,16/05/2018,Re,NO,SI,03,04,08,19,24,11
1783,19/05/2018,Tr,NO,SI,12,13,23,35,39,16
1783,19/05/2018,Re,NO,SI,08,21,33,34,42,15
1784,23/05/2018,Tr,NO,SI,08,11,17,23,39,07
1784,23/05/2018,Re,NO,SI,02,23,25,33,36,04
1785,26/05/2018,Tr,NO,SI,09,12,16,18,34,11
1785,26/05/2018,Re,NO,SI,04,08,17,23,38,02
1786,30/05/2018,Tr,NO,SI,06,15,19,27,42,16
1786,30/05/2018,Re,NO,SI,07,08,27,38,39,02
1787,02/06/2018,Tr,NO,SI,03,16,19,20,23,08
1787,02/06/2018,Re,NO,SI,04,08,12,19,30,01
1788,06/06/2018,Tr,NO,SI,01,07,12,26,43,14
1788,06/06/2018,Re,NO,SI,02,23,27,28,34,09
1789,09/06/2018,Tr,NO,SI,01,04,18,21,42,02
1789,09/06/2018,Re,NO,SI,13,28,31,35,43,02
1790,13/06/2018,Tr,NO,SI,02,08,20,25,27,04
1790,13/06/2018,Re,NO,SI,02,03,12,19,35,12
1791,16/06/2018,Tr,NO,SI,03,20,22,24,36,06
1791,16/06/2018,Re,NO,SI,01,11,14,15,40,07
1792,20/06/2018,Tr,NO,SI,07,08,18,25,43,06
1792,20/06/2018,Re,NO,SI,07,11,14,30,42,12
1793,23/06/2018,Tr,NO,SI,11,12,25,33,39,07
1793,23/06/2018,Re,NO,SI,04,19,30,34,43,08
1794,27/06/2018,Tr,NO,SI,16,20,29,33,40,03
1794,27/06/2018,Re,NO,SI,21,24,31,39,42,14
1795,30/06/2018,Tr,NO,SI,03,16,18,30,34,16
1795,30/06/2018,Re,NO,SI,04,32,35,36,37,16
1796,04/07/2018,Tr,NO,SI,05,07,20,34,37,04
1796,04/07/2018,Re,NO,SI,01,13,20,22,32,14
1797,07/07/2018,Tr,NO,SI,08,11,22,35,41,10
1797,07/07/2018,Re,NO,SI,04,15,30,38,42,01
1798,11/07/2018,Tr,NO,SI,06,17,31,32,41,13
1798,11/07/2018,Re,NO,SI,03,07,10,13,21,15
1799,14/07/2018,Tr,NO,SI,04,13,14,16,33,05
1799,14/07/2018,Re,NO,SI,01,05,13,22,23,12
1800,18/07/2018,Tr,NO,SI,21,32,33,34,37,11
1800,18/07/2018,Re,NO,SI,16,23,25,26,36,16
1801,21/07/2018,Tr,NO,SI,12,25,32,33,41,10
1801,21/07/2018,Re,NO,SI,05,15,21,22,39,11
1802,25/07/2018,Tr,NO,SI,02,13,25,36,43,15
1802,25/07/2018,Re,NO,SI,13,15,24,29,30,11
1803,28/07/2018,Tr,NO,SI,02,11,26,33,40,15
1803,28/07/2018,Re,NO,SI,02,08,19,23,37,01
1804,01/08/2018,Tr,NO,SI,02,05,09,11,42,09
1804,01/08/2018,Re,NO,SI,07,08,17,32,37,04
1805,04/08/2018,Tr,NO,SI,06,16,20,24,30,11
1805,04/08/2018,Re,NO,SI,03,18,23,28,43,15
1806,08/08/2018,Tr,NO,SI,05,33,34,41,43,07
1806,08/08/2018,Re,NO,SI,03,09,29,31,41,05
1807,11/08/2018,Tr,NO,SI,02,03,22,28,37,08
1807,11/08/2018,Re,NO,SI,24,33,35,36,41,05
1808,15/08/2018,Tr,NO,SI,01,12,20,39,41,13
1808,15/08/2018,Re,NO,SI,06,19,30,34,35,09
1809,18/08/2018,Tr,NO,SI,06,12,16,21,33,05
1809,18/08/2018,Re,NO,SI,07,25,31,33,41,08
1810,22/08/2018,Tr,NO,SI,10,12,34,35,36,09
1810,22/08/2018,Re,NO,SI,11,12,17,27,41,13
1811,25/08/2018,Tr,NO,SI,03,22,26,29,36,07
1811,25/08/2018,Re,NO,SI,04,16,18,22,27,13
1812,29/08/2018,Tr,NO,SI,17,27,37,38,40,03
1812,29/08/2018,Re,NO,SI,03,06,09,24,30,02
1813,01/09/2018,Tr,NO,SI,03,08,10,15,39,09
1813,01/09/2018,Re,NO,SI,05,16,25,39,41,09
1814,05/09/2018,Tr,NO,SI,04,22,26,29,36,13
1814,05/09/2018,Re,NO,SI,12,14,16,25,28,15
1815,08/09/2018,Tr,SI,SI,08,09,19,23,38,14
1815,08/09/2018,Re,NO,SI,04,08,18,20,24,12
1816,12/09/2018,Tr,NO,SI,03,18,34,42,43,04
1816,12/09/2018,Re,NO,SI,02,05,17,20,23,03
1817,15/09/2018,Tr,NO,SI,02,05,09,34,42,13
1817,15/09/2018,Re,NO,SI,06,27,28,36,40,04
1818,19/09/2018,Tr,NO,SI,08,24,26,33,35,06
1818,19/09/2018,Re,NO,SI,09,22,25,30,40,06
